Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
jennamediaco,Sports & Outdoor,$42.95,,,【Creator’s Pick】Halara 2-piece SoftlyZero Airy Square Neck Backless Crisscross Cropped InstantCool Yoga Tank Top-UPF50+ & Super High Waisted InstantCool Yoga Shorts with Pockets Set,1732334422006665508,$42.95,,,,,,,,,,,,
jon_wicki_,Food & Beverages,$139.98,Menswear & Underwear,$95.85,Farmer Protein Powder - Third Party Tested,1730763996470809114,$139.98,"MAELREG Polo Shirts for Men Dry Fit Performance Chest Print Color Block Moisture Wicking Casual Short Sleeve Golf Shirts,Contrast Color Outdoor Clothing,Gifts for Men",1730793148274282577,$95.85,Mellow Sleep | 2 CloudAlign Pillows + 2 Free Cooling Pillowcases - Ergonomic Cervical Pillow +Dual-Height Memory Foam with Cooling Pillowcase for Side Back & Stomach Sleepers Best Pillow 2025 Awarded,1732400382868623441,$81.98,"G Gradual Men's Shorts 7""/ 5""/ 9"" Lightewight Casual Shorts for Men  Hiking Golf Shorts with 3 Zipper Pockets SummerVibes #TikTokShopStockUp,travel essentials,camping essentials",1731551213001347793,$57.97,"G Gradual Men's Golf Dress Shorts - 5""/7""/9"" Stretch Quick Dry Men’s Clothes with 3 Pockets, Flat Front for Casual Work, Summer Sports & Outdoor Wear #TikTokShopStockUp,summerwins,travel essentials,camping essentials",1732318252046914257,$19.98
julie_trimble,Womenswear & Underwear,"$25,172.61",Sports & Outdoor,"$8,553.86",Yimoon Rugby Polo Sweater for Women Striped Collared Sweaters Shirt Long Sleeve Knit Y2K Casual Pullover Top Womenswear Soft,1732358579737891835,"$7,170.28","Fisoew Women's Fake Two Piece Layered Sweatshirt, Crew Neck White Ribbed Cuff & Hem Patchwork Drop Shoulder Oversized Long Sleeve Pullover Top Hoodie Hoodie Fit Casual,back to school,back to school shopping",1732458726424744167,"$2,348.24",YSENTO Women's Camo Cargo Pants Lightweight Hiking Pants Outdoor Quick Dry Casual Travel Sweatpants Joggers Elastic Waist Button Pockets  #Monther's DAY #summervibes #outdoorfun,1732356316412219820,"$1,971.11","Flamingals Solid Stitch Detail Mid Waist Baby Barrel Fit Deep Pockets Pants High Stretch 26.4"" Inseam Casual Women's Fashion Elevated Basic",1731791880565592149,"$1,609.57","HIITAVE Women's 5 Wide-Toe Lightweight Breathable Water Footwear for Swim, Beach, Yoga - Quick-Dry Barefoot Shoes for Women, Sports Outdoor Sneakers tiktokshopbacktoschool, Swimming Shoes, Pilates, Volleyball, Pool, Women's Shoes",1729436876485399187,"$1,604.41"
justjessyxo,Womenswear & Underwear,"$45,367.55",Shoes,"$1,195.76","Women's Button Front Denim Coat, Fashion Casual Outerwear, Jean Coat, Elegant Casual Long Sleeve Denim Jacket for Spring & Fall, Women's Clothing for Daily Wear",1732472525961859364,"$3,158.56","Fisoew Womens Pullover Sweatshirt Soft Oversized V-Neck with a Criss Cross Wrap Hem, Long Balloon Sleeve Cropped Casual Loungewear,back to school,back to school shopping, Women's Tops And Blouses",1732416156470251751,"$3,024.63","Chouyatou Barrel Jeans Women Wide Leg Cropped Jeans Y2k Mid Rise Baggy Jeans Boyfriend Denim Pants Harem Pants Vintage Breathable SpringStatements Womenswear High Waist,back to school shopping",1730287933715026313,"$2,935.48","Yeokou Women's Zip Up Y2K  Short Hooded Sweatshirt Colorblock Zip Pullover Top - Stylish Cropped Fit & Comfortable Material for Casual Outings,back to school,back to school shopping",1731933607257215474,"$2,891.92","Ommig Womens Baggy Wide Leg Pants Casual Summer Palazzo Pants Drawstring Waist Lounge Pants with Pockets,summerwins,back to school shopping",1731313818002559546,"$2,211.87"
kaseyas0920,Toys & Hobbies,$634.64,Textiles & Soft Furnishings,$418.16,"Boxer Gifts Overstimulated Button – Funny Mom Gifts, Gag for Coworkers or Friends, Silly Novelty for Women, Joke Present for the Easily Overwhelmed Survival Relatable",1731937449440940593,$508.62,"Funny Cow Print Flannel Throw Blanket - Fluffy Soft Blankets for Office, Cozy Setup Bedding, Rustic Decor for Living Room, Room Decor for Women, Gifts for Women Ideal for Girlfriend",1732120273123381450,$149.13,"3Pcs Streetwear Camo Cartoon Monkey Fitted Sheet Set with 2 Pillowcases, Comfy Bed Sets, Soft Comfort Deep Pocket Mattress Protector, Color-Blocking Bedroom Decor Gift for Streetwear Fans, Soft Comfy Bedding, Bed Linens",1729491904257233961,$143.06,Game Against Potter Limited Edition- 250+ Cards for Parties and Game Nights,1729611440061059969,$113.88,Harry Potter Marauder's Map Messenger Tote Bag & Desk Mat Bundle,1732273333219922399,$83.07
kaseys0920,Home Supplies,$310.39,Shoes,$275.22,Mystery Machine Weekender Bag,1729413004347282266,$127.00,Western Cowboy Boots For Women Embroidered Over The Knee Tall Boot Pointed Toe Block Heel Side Zipper Lace Up Cowgirl Boots Retro Country Fashion Wedding Party Festival Shoes,1732205631166648845,$124.63,"Jay Franco Official Harry Potter Honeydukes Chocolate Frog Pillow - 16in Soft Padded Cushion, Blue Plush Pillow, Whimsical Room Decor, Fun Size Unique Gift for Harry Potter Fans",1732276299006448079,$121.13,"Screaming Ghost Sponge Holder with Drainage - Fits Scrub Daddy & Scrub Mommy, Horror Character Figurines, Spooky Kitchen Decor, Gift for Scream Fans",1732303683096384125,$114.79,"Yeezy Men's YZY YS-01 Cream Sandals, from StockX",1732432874792784026,$111.00
kategrauss,Beauty & Personal Care,"$16,066.39",Health,"$1,930.25","[medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,"$10,711.18","[NEW] [medicube] NAD+ EGF Firming Gel Mask (4 sheets) | Color Changing Red Jelly Mask | NAD+, EGF, Anti-aging, Plumping, Radiance Boosting |  Hydrogel Mask for Skin Elasticity & Volume |  Overnight Face Mask for Youthful-Looking Skin | Korean Skincare",1732472696408609003,"$2,349.28","[medicube] PDRN Pink Collagen Jelly Eye Mask | Hydrogel Eye Patches with PDRN, Collagen, NAD | Refreshing for Puffy, Tired Eyes | Firming for Look of Wrinkles, Fine Lines | Korean Skincare (6/28/50 Pairs)",1732397931521020139,"$1,179.96","Arrae MB-1 | Natural Energy, Cholesterol, & Overall Health Support 20-Day Supply| Organic Nutrition Dietary Supplement Healthcare Vitamins Probiotic Blend Edible Fitness",1729560041868333693,$613.91,"3 Day Juice Cleanse Detox by RAW Fountain, RAW Cold Pressed Juices, All Natural, No Gluten, No Wheat, No Artificial Flavors, 18x 12oz Bottles, 3 Ginger Shots 2oz",1729412753272770785,$606.35
kategrs,Shoes,$354.08,,,Project Cloud Women's Genuine Leather Sandals | Casual Summer Walking Shoes Footwear | Plush Soft Insole Lightweight Non-Slip – Mayvy,1731581876303794744,$354.08,,,,,,,,,,,,
kathryn_scoco,Home Improvement,"$15,795.36",Household Appliances,"$9,500.42",VASAIKO 6-in-1 Portable  Detector with Natural Gas & Temperature Humidity Sensors Plug-and-Play Design High-Definition Display Accurate Alerts Ideal for Kitchen Garage RVs Apartments,1732022410216050952,"$12,470.74","【2026 Newly Upgraded】Trucozie T350 Rechargeable Wireless Cordless Vacuum Cleaner, 8-in-1 Lightweight Upright Vacuum for Deep Clean, 45-Minute Runtime, 33 kPa Powerful Suction, Housewarming Gift Suitable for Hardwood Floors, Carpets, Pet Hair, Car Interior",1729406319708377732,"$4,612.84","Homemade Coffee Syrup Kit | 4 Embossed Vintage Glass Syrup Dispensers, Saucepan & Recipe Book for Vanilla, Caramel, Brown Sugar & Seasonal Syrups | Coffee Bar Essentials & Gift for Coffee Lovers",1731428280582902292,"$2,274.46",5/6/7FT Artificial Olive Tree Tall Faux Potted Plant with Natural Wood Trunk Lifelike Fruit Faux Tree for Home Office Decor,1729490916887139470,"$2,168.99","SUSTEAS Hand Crank Manual Cheese Shredder & Rotary Grater, 5 Stainless Steel Blades, Strong Suction Cup Base, Multi-Functional Vegetable Cutting Slicer, Kitchen Accessories Utensils Tools and Gadgets, Home Decor",1729386633884898245,"$2,121.30"
katrinagmoore,Womenswear & Underwear,"$92,188.16",Shoes,"$7,283.65",Yimoon 3 Pack Oversized T-Shirts for Women And Men Cotton Long Sleeve Vintage Acid Wash Baggy T Shirts Casual Comfy Tee,1731969225915601915,"$5,507.06","Women's Vintage Ruffle Washed Denim Jacket, Summer Lightweight Ruffled High-Waisted Short Top, Casual Chic Fashion Female Denim Coat, Denim Jacket Coats",1732390168159883563,"$3,528.08",Rhinestone Glitter Unisex Spring Oversized Hoodies Sparkly Long Sleeve Shirts Party Hooded Sweatshirts Tops,1731540039073370424,"$3,133.35","utcoco Women's Bib Overalls, Cute Floral Print Denim Jumpsuit with Baggy Wide Leg and Adjustable Straps, Fashion Apparel Chic Pants,back to school shopping, Flower, Women's Clothes",1729494608230520289,"$2,919.29","Tewiky 14K Gold Plated Long Tassel Earrings for Women,Chain Tassel Threader Earrings Trend Dangling,Trendy Hypoallergenic Bride Party Prom Jewelry and Women Gifts For Mother's Day gifts tiktokshopbacktoschool",1731365929962017429,"$2,912.41"
